"","dst","M_num","eld_num","N_pop"
"1",6011,24421,13463,49613
"2",6012,25342,13306,51925
"3",6013,16030,8643,32504
"4",6021,21295,12596,44447
"5",6022,27532,15381,56422
"6",6031,6698,3317,13771
"7",6032,27232,14864,55922
"8",6033,11402,6503,23320
"9",6034,15562,6761,31855
"10",6041,17239,8870,34887
"11",6042,16764,8878,34528
"12",6043,15903,9090,32666
"13",6044,13089,7670,26836
"14",6051,14710,8690,30143
"15",6052,24366,12286,50586
"16",6053,31929,19014,66069
"17",6061,29497,16922,60107
"18",6062,20293,11265,41573
"19",6071,11972,7364,24664
"20",6072,15719,9443,32199
"21",6073,19969,11716,41235
"22",6074,25687,14396,52834
"23",6075,8942,5219,18248
"24",6081,15227,10270,31322
"25",6082,27110,15494,56154
"26",6091,21999,9507,45171
"27",6092,28990,12899,58459
"28",6093,28429,11563,58725
"29",6094,10956,5277,21714
"30",6111,16644,10107,34076
"31",6112,27415,15844,56332
"32",6121,29993,15997,62268
"33",6122,22185,11895,46010
"34",6131,26664,15587,54648
"35",6132,26780,16284,55284
"36",13011,14669,8136,29787
"37",13012,37362,20676,75994
"38",13013,23573,13685,48272
"39",13014,36252,17615,74085
"40",14011,2906,1556,5901
"41",14021,38166,16954,77217
"42",14022,34439,16430,70141
"43",15011,28116,13929,56760
"44",15021,26161,14309,53341
"45",15031,40806,19180,82877
"46",15071,2675,1194,5391
"47",16031,4225,2453,8737
"48",16041,19780,10478,40498
"49",16043,25075,11667,50625
"50",16051,22212,10862,45424
"51",16052,37611,20737,76806
"52",16061,27312,15073,55970
"53",16062,16890,8789,34781
"54",16063,31083,14280,63043
"55",16072,13195,6766,26907
"56",16081,24902,12814,50656
"57",16121,29156,14681,59235
